match_id,date,home_team,away_team,season,home_form_wins,home_form_points,home_form_goals_for,home_form_goals_against,home_form_matches,away_form_wins,away_form_points,away_form_goals_for,away_form_goals_against,away_form_matches,home_win_rate_at_home,home_avg_goals_at_home,home_matches_at_home,away_win_rate_away,away_avg_goals_away,away_matches_away,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,h2h_matches,home_score,away_score,winner
444388,2023-12-02 19:45:00+00:00,AC Milan,Frosinone Calcio,2023-2024,1,5,5,6,5,2,6,8,10,5,0.6666666666666666,1.3333333333333333,6,0.0,0.8333333333333334,6,0,0,0,0.0,0,3,1,HOME_TEAM
444387,2023-12-03 11:30:00+00:00,US Lecce,Bologna FC 1909,2023-2024,0,3,6,8,5,3,10,7,4,5,0.42857142857142855,1.1428571428571428,7,0.0,0.8333333333333334,6,0,0,0,0.0,0,1,1,DRAW
444384,2023-12-03 14:00:00+00:00,ACF Fiorentina,US Salernitana 1919,2023-2024,1,3,2,6,5,1,5,6,8,5,0.5,1.6666666666666667,6,0.0,0.6666666666666666,6,0,0,0,0.0,0,3,0,HOME_TEAM
444393,2023-12-03 14:00:00+00:00,Udinese Calcio,Hellas Verona FC,2023-2024,1,6,5,6,5,0,1,4,10,5,0.0,0.6666666666666666,6,0.14285714285714285,0.42857142857142855,7,0,0,0,0.0,0,3,3,DRAW
444391,2023-12-03 17:00:00+00:00,US Sassuolo Calcio,AS Roma,2023-2024,1,5,8,10,5,3,10,6,3,5,0.2857142857142857,1.4285714285714286,7,0.16666666666666666,1.1666666666666667,6,0,0,0,0.0,0,1,2,AWAY_TEAM
444390,2023-12-03 19:45:00+00:00,SSC Napoli,FC Internazionale Milano,2023-2024,3,10,9,5,5,4,13,9,2,5,0.3333333333333333,1.6666666666666667,6,0.8333333333333334,2.1666666666666665,6,0,0,0,0.0,0,0,3,AWAY_TEAM
444392,2023-12-04 19:45:00+00:00,Torino FC,Atalanta BC,2023-2024,2,7,4,7,5,2,7,8,5,5,0.3333333333333333,0.6666666666666666,6,0.42857142857142855,1.7142857142857142,7,0,0,0,0.0,0,3,0,HOME_TEAM
444400,2023-12-08 19:45:00+00:00,Juventus FC,SSC Napoli,2023-2024,4,13,7,3,5,2,7,6,7,5,0.7142857142857143,1.5714285714285714,7,0.7142857142857143,2.2857142857142856,7,0,0,0,0.0,0,1,0,HOME_TEAM
444398,2023-12-09 14:00:00+00:00,Hellas Verona FC,SS Lazio,2023-2024,0,2,6,10,5,2,7,3,3,5,0.16666666666666666,1.0,6,0.2857142857142857,1.0,7,0,0,0,0.0,0,1,1,DRAW
444394,2023-12-09 17:00:00+00:00,Atalanta BC,AC Milan,2023-2024,1,4,6,8,5,2,8,8,6,5,0.5,1.5,6,0.5714285714285714,1.8571428571428572,7,0,0,0,0.0,0,3,2,HOME_TEAM
444399,2023-12-09 19:45:00+00:00,FC Internazionale Milano,Udinese Calcio,2023-2024,4,13,9,2,5,1,6,7,8,5,0.7142857142857143,2.4285714285714284,7,0.14285714285714285,0.7142857142857143,7,0,0,0,0.0,0,4,0,HOME_TEAM
444397,2023-12-10 11:30:00+00:00,Frosinone Calcio,Torino FC,2023-2024,2,6,8,11,5,3,10,7,4,5,0.7142857142857143,2.0,7,0.2857142857142857,0.8571428571428571,7,0,0,0,0.0,0,0,0,DRAW
